Country or territory,Sale,Possession,Internet pornography,Penalty,Notes
Eritrea Eritrea,Illegal,Legal,Uncertain,"Article 313. (Obscene or Indecent Publications)  #  A person who publicly distributes, displays or traffics in writings, images, posters, films, objects or other communications that are obscene or grossly indecent, is guilty of obscenity, a Class 1 petty offence, punishable with a definite term of imprisonment of not less than 6 months and not more than 12 months, or a fine of 20,001 – 50,000 [[Eritrean nakfa|Nakfas]], to be set in intervals of 2,500 Nakfas.
# It is not an offence under sub-Article (1) where the conduct takes place in private, or where the material is artistic, literary or scientific in character.",
Estonia Estonia,Legal,Legal,Legal,,
Ethiopia Ethiopia,Illegal,Uncertain,Uncertain,Uncertain,
Finland Finland,Legal,Legal,Legal,,
France France,Legal,Legal,Legal,,
Gabon Gabon,Illegal,Illegal,Legal,Uncertain,
Gambia Gambia,Illegal,Illegal,Legal,"Section 144B.  (2)  A person who produces or participates in the production of, or trafficks in, publishes, broadcasts, procures, imports, exports or in any way abets pornography contrary to subsection (1) commits an offence and is liable on conviction to a fine of not less than twenty thousand [[Gambian dalasi|dalasis]] or imprisonment not exceeding ten years or both.",
Palestine Gaza Strip,Illegal,Illegal,Blocked,Uncertain,"[https://www.reuters.com/article/idUSL1920867720080519 Hamas bans pornographic websites in Gaza Strip] . Reuters , May 19, 2008."
Georgia Georgia,Uncertain,Uncertain,Legal,Uncertain,
Germany Germany,Legal,Legal,Legal,,
Ghana Ghana,Illegal,Illegal,Legal,"Article 281. (Further Offences Relating to Obscenity)  # Any person who: <br /> (a)  for the purposes of or by way of trade, or for the purposes of distribution or public exhibition, makes, produces, or has in his possession any one or more obscene writings, drawings, prints, paintings, printed matter, pictures, posters, emblems, photographs, cinematograph films, or any other obscene objects [...]<br /> : shall be guilty of a misdemeanour.",
Greece Greece,Legal,Legal,Legal,,
Guinea Guinea,Uncertain,Uncertain,Uncertain,Uncertain,
Guinea-Bissau Guinea-Bissau,Uncertain,Uncertain,Uncertain,Uncertain,
Guyana Guyana,Illegal,Legal,Legal,Uncertain,
Hong Kong Hong Kong,Restricted,Legal,Legal,,
Hungary Hungary,Legal,Legal,Legal,,
Iceland Iceland,Illegal,Legal,Legal,"Article 210, Icelandic Criminal Law If pornography is published in print, the person responsible for publishing it in accordance with printing laws shall be subject to fines or imprisonment for up to 6 months.",
India India,Illegal,"Legal, possession of pornography is legal in India, but manufacturing and distribution of pornography is illegal.",Most porn sites are banned,"Indian Penal Code-1860 Section 292, 293 and IT Act-67B. (Illegal dissemination of pornographic materials) & (Illegal Child Pornography) #  Anyone who sells, let's to hire, distributes, exhibits or circulates to any person under the age of 20 years any such obscene object a Illegal manufacture, sale as well as, dissemination of pornographic materials or items, as well as, printed publications will severely punished with a fine in the amount of 2000 [[Indian rupee|rupees]] fine for monthly term, or with imprisonment for the term of up to 7 years.
# Whoever browses, publishes, creates, downloads obscene content of child pornography which are strictly prohibited will be punished with imprisonment of 5 years and 10 lakh [[Indian rupee|rupees]] fine.",
Indonesia Indonesia,Illegal,Illegal,Blocked,Uncertain,
Iran Iran,Illegal,Illegal,Blocked,Uncertain,"[https://opennet.net/research/profiles/iraq ""ONI Country Profile: Iran""] , OpenNet Initiative, 16 June 2009"
Iraq Iraq,Illegal,Uncertain,Legal,"Article 403. (: Immodest and shameful acts)  #  Any person who produces, imports, publishes, possesses, obtains or translates a book, printed or other written material, drawing, picture, film, symbol or other thing that violates the public integrity or decency with intent to exploit or distribute such material is punishable by a period of detention not exceeding 2 years plus a fine not exceeding 200 [[Iraqi dinar|dinars]] or by one of those penalties","[http://opennet.net/research/profiles/kuwait#footnote20_1w5khpn ONI Country Profile: Iraq""] , OpenNet Initiative, 6 August 2009"
Ireland Ireland,Legal,Legal,Legal,,
Israel Israel (excluding Palestinian territories ),Legal,Legal,Legal,,
Italy Italy,Legal,Legal,Legal,,
Jamaica Jamaica,Legal,Legal,Legal,Uncertain,
Japan Japan,Restricted,Legal,Restricted,,
Jordan Jordan,Illegal,Uncertain,Uncertain,,
Kazakhstan Kazakhstan,Illegal,Uncertain,Some sites blocked,Uncertain,
Kenya Kenya,Illegal,Uncertain,Legal,"Article 166. (Traffic in obscene publication)  # Any person who: <br /> (a) for the purpose of or by way of trade or for the purpose of distribution or public exhibition, makes, produces or has in his possession any one or more obscene writings, drawings, prints, paintings, printed matter, pictures, posters, emblems, photographs, cinematograph -films or any other objects or any other object tending to corrupt morals [...]<br /> : is guilty of a misdemeanour, and is liable, to imprisonment for two years or to a fine of seven thousand [[kenyan shilling|shillings]].",
Kiribati Kiribati,Illegal,Illegal,Uncertain,"Article 166. (Traffic in obscene publication)  # Any person who: <br /> (a) for the purpose of or by way of trade or for the purpose of distribution or public exhibition, makes, produces or has in his possession any one or more obscene writings, drawings, prints, paintings, printed matter, pictures, posters, emblems, photographs, cinematograph -films or any other objects or any other object tending to corrupt morals [...]<br /> : is guilty of a misdemeanour, and is liable, to imprisonment for two years or to a fine of two hundred dollars.",
Kosovo Kosovo,Legal,Legal,Legal,,
Kuwait Kuwait,Illegal,Illegal,Blocked,Uncertain,"[http://opennet.net/research/profiles/kuwait#footnote20_1w5khpn ONI Country Profile: Kuwait""] , OpenNet Initiative, 6 August 2009"
Laos Laos,Illegal,Legal,Legal,"Article 138. (Dissemination of Pornographic Objects and Objects Contrary to Fine Traditions)  # Any person engaging in the widespread production, distribution, or dissemination of pornographic items, magazines, pictures, video cassettes and other materials contrary to fine traditions shall be punished by three months to one year of imprisonment and shall be fined from 200,000 [[Lao kip|Kip]] to 5,000,000 Kip.",
Lebanon Lebanon,Illegal,Uncertain,Legal,Uncertain,
Lesotho Lesotho,Uncertain,Uncertain,Uncertain,Uncertain,
Liberia Liberia,Uncertain,Uncertain,Uncertain,Uncertain,
Libya Libya,Illegal,Illegal,Legal,Uncertain,
